shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Line 3,33.744289,73.110924,0
Line 3,33.744469,73.116844,1
Line 3,33.744755,73.122856,2
Line 4,33.744755,73.122803,0
Line 4,33.744862,73.129974,1
Line 4,33.741970,73.129501,2
Line 4,33.739796,73.129158,3
Line 4,33.736477,73.131218,4
Line 4,33.736439,73.131256,5
Line 5,33.736477,73.131256,0
Line 5,33.725803,73.139374,1
Line 5,33.723804,73.136665,2
Line 5,33.723019,73.135811,3
Line 6,33.722984,73.135811,0
Line 6,33.721947,73.134308,1
Line 6,33.721340,73.133064,2
Line 6,33.720661,73.129974,3
Line 6,33.720161,73.127480,4
Line 6,33.718700,73.125122,5
Line 6,33.718628,73.119629,6
Line 6,33.719913,73.117615,7
Line 6,33.720272,73.116112,8
Line 6,33.715130,73.106155,9
Line 6,33.713596,73.103020,10
Line 6,33.714310,73.102379,11
Line 7,33.714237,73.102165,0
Line 7,33.712166,73.098167,1
Line 8,33.712097,73.098000,0
Line 8,33.707668,73.089806,1